origin,Ship,class,names,ages,date_DISEMBARKED,gender,race,occupation,destination,deck
Liverpool,Mauretania,Second,"Jazmin, Garay Flores",1,1912-04-17,Male,Other,Carpenter,New York,5
Liverpool,Celtic,Second,"Karen, Steinacher",27,1912-04-16,Male,Other,Blacksmith,New York,2
Liverpool,Lusitania,Second,"Dominic, Martinez",27,1912-04-19,Female,Asian,Merchant,Cherbourg,4
Liverpool,Mauretania,Second,"Pa Ying, Covington",75,1912-04-20,Female,Black,Tailor,New York,4
Southampton,Olympic,First,"Nicklas, Hedrick",51,1912-04-19,Female,Other,Miner,New York,4
Liverpool,Adriatic,First,"Thaylor, Powell",89,1912-04-20,Male,Asian,Weaver,New York,4
Liverpool,Adriatic,Third,"Jessica, Martin",45,1912-04-19,Female,Black,Blacksmith,New York,2
Southampton,Titanic,Third,"Theresa, Tran",7,1912-04-19,Male,Hispanic,Farmer,New York,1
Liverpool,Celtic,Second,"Daniel, Macon-robinson",98,1912-04-16,Female,White,Weaver,New York,4
Liverpool,Baltic,Second,"Kimberly, Ottinger",90,1912-04-19,Female,Black,Carpenter,New York,2
Liverpool,Lusitania,Third,"Santiago, Lozoya Rangel",40,1912-04-18,Female,White,Shoemaker,New York,2
Southampton,Olympic,First,"Riley, Branson",13,1912-04-20,Female,Other,Carpenter,New York,2
Liverpool,Carpathia,Third,"Lucas, Shumock",96,1912-04-15,Female,Black,Shoemaker,New York,4
Southampton,Britannic,Second,"Mariah, Duenas",10,1912-04-19,Female,Other,Carpenter,New York,2
Liverpool,Mauretania,First,"Haamida, El-attar",1,1912-04-17,Female,Asian,None,New York,1
Liverpool,Carpathia,Third,"De Ondre, Stevenson",2,1912-04-18,Male,Other,Merchant,New York,1
Liverpool,Aquitania,Second,"Jonathan, Nguyen",16,1912-04-17,Female,Other,Shoemaker,New York,4
Liverpool,Mauretania,Second,"Arielle, Toney",42,1912-04-20,Female,Other,Carpenter,New York,1
Liverpool,Lusitania,Third,"Mangei, Isabelle",18,1912-04-19,Female,Black,Blacksmith,New York,3
Southampton,Britannic,First,"Abdur Raheem, Al-radwan",18,1912-04-20,Female,Asian,Baker,New York,1
Southampton,Britannic,Third,"Christian, Johnston",7,1912-04-18,Female,Other,Merchant,New York,4
Southampton,Olympic,First,"Jordan, Colson",78,1912-04-16,Male,Hispanic,Tailor,New York,4
Southampton,Titanic,Second,"Sara, Wong",13,1912-04-17,Female,Black,Shoemaker,New York,3
Southampton,Titanic,First,"Christopher, Sanchez",83,1912-04-20,Male,Black,Miner,New York,5
Liverpool,Baltic,First,"Aatifa, Al-arshad",34,1912-04-15,Female,Asian,Baker,New York,2
Liverpool,Adriatic,First,"Krystal, Ramirez",31,1912-04-19,Female,Asian,Farmer,Cherbourg,4
Southampton,Britannic,First,"Linh, Hathaway",3,1912-04-20,Female,Other,Weaver,Cherbourg,1
Liverpool,Baltic,First,"Keisha, Hassan",9,1912-04-17,Female,White,None,New York,4
Liverpool,Carpathia,Second,"Atsila, Berg",42,1912-04-17,Male,Asian,Baker,New York,3
Liverpool,Aquitania,Third,"Casey, Kebba",75,1912-04-20,Male,Other,Blacksmith,New York,3
Liverpool,Lusitania,Second,"Sheridan, Hamilton",97,1912-04-16,Female,Hispanic,Carpenter,New York,4
Liverpool,Mauretania,Second,"Carl, Jarman",48,1912-04-17,Male,White,Shoemaker,New York,5
Liverpool,Baltic,Second,"Jacob, Liao",NA-,1912-04-19,Female,White,Merchant,New York,3
Southampton,Titanic,First,"Sabrina, Lopez",5,1912-04-18,Female,Hispanic,Blacksmith,New York,1
Southampton,Titanic,First,"Boan, Masterson",79,1912-04-15,Female,Other,Miner,Cherbourg,2
Liverpool,Carpathia,Third,"Kadijah, Cummings",72,1912-04-19,Female,White,Weaver,New York,5
Liverpool,Lusitania,Second,"Dina, Chavez",27,1912-04-16,Female,White,Weaver,Cherbourg,3
Liverpool,Lusitania,Third,"Cody, Solorzano",40,1912-04-18,Male,Asian,Mason,New York,2
Liverpool,Baltic,Third,"Abdur Raheem, El-basa",94,1912-04-16,Female,Asian,Shoemaker,New York,1
Liverpool,Mauretania,Second,"Brittany, Turner",93,1912-04-16,Female,Other,Merchant,Cherbourg,5
Liverpool,Mauretania,First,"Kendra, Morrow",48,1912-04-20,Male,White,Farmer,New York,4
Southampton,Titanic,First,"Naaifa, El-hussain",77,1912-04-17,Female,Black,Merchant,New York,5
Liverpool,Lusitania,Second,"Esar, Ellis",36,1912-04-20,Female,Asian,Baker,Cherbourg,5
Liverpool,Aquitania,Second,"Jordan, Young",18,1912-04-20,Male,Asian,Tailor,New York,4
Liverpool,Baltic,Third,"Suthdara, Marlow",66,1912-04-17,Female,Asian,Blacksmith,New York,3
Liverpool,Celtic,First,"Krystal, Redmond",30,1912-04-19,Male,Black,Shoemaker,New York,3
Liverpool,Aquitania,Second,"Ahlaam, El-salem",25,1912-04-19,Male,Black,Blacksmith,New York,1
Liverpool,Mauretania,First,"A'lexus, Crabtree",40,1912-04-17,Male,Hispanic,Blacksmith,New York,5
Liverpool,Lusitania,Second,"Travis, Pratt",1,1912-04-15,Female,Hispanic,Mason,New York,3
Liverpool,Celtic,Third,"Jada, Shafi",3,1912-04-17,Female,Hispanic,Miner,New York,4
Liverpool,Aquitania,First,"Chelsea, Plazola",97,1912-04-17,Female,Other,Blacksmith,Cherbourg,4
Liverpool,Mauretania,Third,"Marquise, Davison",77,1912-04-15,Male,White,Mason,New York,3
Liverpool,Celtic,Second,"Michael, Scott",4,1912-04-15,Male,Asian,Miner,New York,5
Liverpool,Baltic,Second,"Hernan, Molina",4,1912-04-20,Male,Other,Merchant,New York,3
Liverpool,Baltic,Third,"Cody, Hunsaker",99,1912-04-17,Male,Asian,Weaver,New York,2
Southampton,Britannic,First,"Jordyn, Imam",97,1912-04-20,Male,Asian,Baker,New York,1
Southampton,Britannic,Second,"Kamaaluddeen, Al-bari",41,1912-04-17,Female,Other,Weaver,New York,4
Liverpool,Adriatic,First,"Alyssa, Washington",88,1912-04-15,Male,Black,Farmer,New York,4
Southampton,Olympic,Second,"Joseph, Jaramillo",45,1912-04-20,Male,Other,Tailor,New York,4
Liverpool,Mauretania,Second,"Muhammad, Al-farooq",4,1912-04-19,Male,Hispanic,Farmer,New York,3
Liverpool,Lusitania,Third,"Lorena, Valdez",60,1912-04-16,Male,Asian,Miner,Cherbourg,1
Liverpool,Mauretania,Second,"Olivia, Marchena",1,1912-04-18,Male,Other,Shoemaker,New York,1
Liverpool,Carpathia,Third,"Tori, Nichols",67,1912-04-18,Male,Black,None,New York,2
Liverpool,Carpathia,Third,"Alundra, Thao",6,1912-04-17,Female,Hispanic,Blacksmith,New York,5
Southampton,Olympic,Second,"Sadeeqa, El-mohammed",52,1912-04-20,Male,Hispanic,Carpenter,New York,2
Southampton,Titanic,Third,"Brandon, Chen",83,1912-04-17,Female,Other,Blacksmith,New York,3
Liverpool,Baltic,First,"Lillieanna, Garcia",37,1912-04-15,Male,Black,Merchant,New York,4
Liverpool,Lusitania,First,"Hannah, Sanders",16,1912-04-19,Male,White,Miner,New York,3
Liverpool,Baltic,Second,"Atiya, Davis",55,1912-04-19,Male,White,Tailor,New York,3
Liverpool,Celtic,Second,"Omar, Del Mazo Apablaza",3,1912-04-20,Male,Other,None,New York,3
Liverpool,Carpathia,Third,"Alyssa, Thomas",11,1912-04-19,Male,Asian,Farmer,New York,5
Southampton,Titanic,Third,"Jessica, Kennedy",7,1912-04-19,Female,White,Blacksmith,New York,1
Liverpool,Carpathia,Third,"Juan, Sanchez",9,1912-04-17,Male,White,Merchant,New York,2
Southampton,Titanic,Second,"Aiyana, Akina",53,1912-04-19,Male,Black,Carpenter,New York,1
Liverpool,Mauretania,Second,"Xavier, Ramirez",9,1912-04-18,Male,Other,Shoemaker,New York,4
Liverpool,Adriatic,First,"Uriah, Keuhne",50,1912-04-15,Female,White,Tailor,New York,2
Liverpool,Carpathia,Second,"Raven, Silas",4,1912-04-16,Male,Asian,Carpenter,New York,5
Liverpool,Baltic,Second,"Parth, De Werd",NA-,1912-04-18,Female,Hispanic,Tailor,New York,1
Liverpool,Adriatic,First,"Nicholas, Casillas",20,1912-04-16,Female,Asian,Carpenter,New York,5
Liverpool,Celtic,Second,"Margarita, Begaye",2,1912-04-19,Male,Asian,None,New York,5
Liverpool,Aquitania,Second,"Patrice, Miller",7,1912-04-17,Male,Hispanic,Miner,Cherbourg,3
Southampton,Britannic,Third,"Destiny, Lorenz",55,1912-04-18,Male,White,Baker,New York,5
Liverpool,Carpathia,First,"Quincy, Brown",72,1912-04-16,Female,Black,Weaver,New York,2
Liverpool,Aquitania,First,"Anthony, Lemus",96,1912-04-18,Female,Asian,Merchant,New York,5
Liverpool,Adriatic,First,"Celso, Laulunen",NA-,1912-04-20,Female,White,Baker,New York,2
Liverpool,Lusitania,Second,"Billy, Magno",20,1912-04-19,Female,Hispanic,Carpenter,Cherbourg,4
Liverpool,Celtic,Third,"Patrick, Gross",15,1912-04-16,Female,Black,Blacksmith,New York,2
Southampton,Britannic,Second,"Tharwa, El-huq",32,1912-04-20,Female,Hispanic,Blacksmith,New York,1
Liverpool,Celtic,Second,"Alexa, Kazee",35,1912-04-20,Male,Black,Baker,New York,1
Liverpool,Aquitania,Second,"Jacob, Koenig",1,1912-04-18,Male,Asian,Blacksmith,New York,2
Liverpool,Aquitania,First,"Abeer, El-hariri",85,1912-04-18,Female,Hispanic,Tailor,New York,4
Southampton,Britannic,Second,"Glenda, Cartwright",8,1912-04-17,Female,White,Mason,New York,3
Liverpool,Celtic,First,"Terrelle, Daniels",64,1912-04-20,Female,Black,Shoemaker,New York,3
Liverpool,Celtic,Third,"Alexandra, Morser",57,1912-04-16,Male,Black,Shoemaker,New York,4
Liverpool,Aquitania,Third,"Jamie, Hohn",70,1912-04-18,Female,White,None,New York,1
Southampton,Titanic,Second,"Evan, Robinson",74,1912-04-20,Female,Hispanic,Merchant,Cherbourg,1
Liverpool,Carpathia,First,"Erick, Cordova",40,1912-04-17,Male,Hispanic,Miner,New York,5
Liverpool,Mauretania,Third,"Kelsey, Grimes",54,1912-04-20,Female,Hispanic,Miner,New York,1
Southampton,Britannic,Second,"Jeremy, Johnson",33,1912-04-15,Female,Hispanic,Tailor,New York,1
Liverpool,Adriatic,Second,"Conner, Kingery",68,1912-04-19,Female,Asian,Carpenter,New York,3
Southampton,Titanic,Third,"Xandra, Reeves",2,1912-04-15,Male,Asian,Carpenter,New York,1
Liverpool,Aquitania,First,"Treymond, Coney",7,1912-04-18,Female,Black,Miner,Cherbourg,1
Liverpool,Baltic,Second,"Rawda, El-nazir",93,1912-04-17,Female,Black,Merchant,New York,3
Southampton,Titanic,Second,"Alejandra, Cortes",4,1912-04-18,Male,Hispanic,Merchant,New York,5
Southampton,Olympic,First,"David, Sidberry-white",26,1912-04-18,Female,Black,Farmer,New York,5
Southampton,Olympic,Third,"Wesley, Carrigan",62,1912-04-16,Female,Black,Miner,New York,5
Liverpool,Carpathia,Third,"Dominic, Martinez",NA-,1912-04-20,Female,White,None,New York,1
Liverpool,Lusitania,First,"Dhaafir, Al-fares",24,1912-04-18,Male,Asian,Baker,New York,2
Liverpool,Mauretania,Third,"Krystal, Davis",55,1912-04-17,Male,Hispanic,Blacksmith,New York,4
Southampton,Titanic,First,"Emilie, Illian",20,1912-04-17,Male,Other,Farmer,New York,4
Liverpool,Aquitania,Third,"Elise, Loza",39,1912-04-19,Male,Hispanic,Weaver,New York,1
Liverpool,Carpathia,Third,"Baaqir, El-abdulla",69,1912-04-17,Male,Asian,Shoemaker,New York,1
Liverpool,Adriatic,Third,"Kathryn, Lee",9,1912-04-15,Male,Hispanic,None,New York,5
Southampton,Titanic,Second,"Allison, Felker",74,1912-04-15,Male,White,Mason,New York,4
Liverpool,Carpathia,Second,"Satya, Bui",90,1912-04-18,Male,Hispanic,Blacksmith,New York,2
Liverpool,Aquitania,First,"Eloyita, Judkins",4,1912-04-20,Male,Asian,Mason,New York,5
Southampton,Britannic,Third,"David, Mark",22,1912-04-19,Female,Black,Shoemaker,New York,5
Liverpool,Adriatic,Second,"Leanna, Clement",26,1912-04-16,Female,Black,Shoemaker,New York,2
Liverpool,Baltic,Third,"Josue, Barela",3,1912-04-19,Male,Asian,Farmer,New York,2
Southampton,Britannic,Third,"Koy, Jacobs",17,1912-04-15,Female,Asian,Shoemaker,New York,1
Liverpool,Baltic,Third,"Mudrika, El-ameen",13,1912-04-20,Male,Asian,Shoemaker,New York,4
Liverpool,Adriatic,Third,"Waseem, El-rasheed",20,1912-04-15,Female,Asian,Weaver,New York,4
Liverpool,Baltic,Second,"Kidist, Clark",1,1912-04-19,Male,Asian,Farmer,New York,3
Southampton,Britannic,Second,"Ashley, Basurto",78,1912-04-15,Female,Other,Carpenter,New York,3
Liverpool,Aquitania,Second,"Jiali, Truong",0,1912-04-19,Male,White,None,New York,2
Liverpool,Carpathia,First,"Jordyn Andrew, Valdo",9,1912-04-18,Male,Other,Miner,New York,2
Liverpool,Lusitania,Second,"Vignesh, Huynh",8,1912-04-16,Female,Black,Baker,New York,2
Southampton,Britannic,First,"Alisa, Nguyen",17,1912-04-18,Male,White,Weaver,New York,4
Southampton,Titanic,Second,"Margarita, Levshakoff Jr",28,1912-04-20,Male,Black,Baker,New York,4
Liverpool,Mauretania,Third,"Shaheer, El-jabbour",NA-,1912-04-15,Female,Black,None,New York,3
Liverpool,Carpathia,Second,"Jacqueline, Ocana-gonzales",32,1912-04-16,Male,Hispanic,Baker,New York,3
Liverpool,Aquitania,First,"Annika, Bishop",9,1912-04-17,Male,Asian,Tailor,New York,2
Liverpool,Aquitania,First,"Sequoya, Kacprowicz",3,1912-04-19,Male,White,Tailor,New York,2
Southampton,Olympic,Third,"Sandora, Dalton",43,1912-04-16,Male,Other,Baker,New York,3
Liverpool,Lusitania,First,"Sauvnhia, Zhang",NA-,1912-04-20,Male,Hispanic,Weaver,Cherbourg,3
Southampton,Britannic,First,"Raihaan, El-aman",2,1912-04-19,Male,White,Carpenter,Cherbourg,2
Southampton,Titanic,Second,"Shawn, Ortiz",35,1912-04-17,Female,White,Weaver,New York,4
Liverpool,Mauretania,Third,"Jacob, Hernandez",87,1912-04-16,Male,Black,Carpenter,New York,3
Liverpool,Carpathia,Third,"Amanda, Ugarte-schirrmeister",4,1912-04-20,Male,Other,Blacksmith,New York,3
Liverpool,Baltic,Third,"Dani, Enos",71,1912-04-15,Female,Asian,Mason,New York,3
Liverpool,Lusitania,First,"Joel, Cordova",83,1912-04-15,Male,Hispanic,Mason,New York,4
Southampton,Titanic,Second,"Shanay, Silverston",31,1912-04-15,Male,White,Farmer,New York,1
Southampton,Titanic,Second,"Joseph, Lefholz",42,1912-04-20,Female,Other,Shoemaker,New York,2
Liverpool,Adriatic,First,"Tammassha, Martinez",3,1912-04-17,Female,Other,Merchant,New York,1
Liverpool,Aquitania,Second,"Nhi, Vu",24,1912-04-15,Female,Black,Blacksmith,New York,2
Liverpool,Lusitania,First,"Deeplata, Yang",23,1912-04-18,Female,Other,Carpenter,New York,2
Southampton,Olympic,Third,"Samantha, Mugica",1,1912-04-15,Male,White,Baker,Cherbourg,1
Liverpool,Adriatic,Third,"Marcos, Atencio",30,1912-04-18,Male,Other,None,New York,1
Liverpool,Mauretania,First,"Van, Lor",11,1912-04-18,Female,White,Mason,New York,1
Southampton,Olympic,Third,"Shareefa, El-kaleel",49,1912-04-15,Male,Other,Mason,New York,3
Liverpool,Adriatic,Third,"Elizario, Self",58,1912-04-17,Female,Black,Carpenter,New York,4
Liverpool,Adriatic,Second,"Kyle, Brumbaugh",26,1912-04-16,Female,White,Mason,New York,3
Southampton,Titanic,Second,"Saaya, Kamidate",51,1912-04-17,Female,Other,Shoemaker,New York,3
Southampton,Britannic,Second,"Jesus, Morales Granados",19,1912-04-18,Male,Hispanic,Merchant,New York,4
Liverpool,Carpathia,First,"Doiminique, Haile",14,1912-04-15,Female,Black,Baker,New York,4
Liverpool,Celtic,Second,"Gabriella, Siewiyumptewa",4,1912-04-16,Female,Asian,Baker,New York,4
Liverpool,Carpathia,Second,"Daniel, Gregory",98,1912-04-16,Female,Black,None,New York,5
Southampton,Olympic,Second,"Marena, Chaloupka",83,1912-04-15,Male,Asian,Shoemaker,New York,3
Liverpool,Mauretania,Third,"Alejandra, Cervantes",7,1912-04-15,Female,White,Carpenter,New York,5
Liverpool,Adriatic,First,"Iyaad, Al-yousuf",32,1912-04-15,Female,Asian,Blacksmith,New York,1
Liverpool,Adriatic,Third,"Kamee, Vanacore",97,1912-04-16,Female,Black,Weaver,New York,4
Liverpool,Lusitania,Second,"Dana, Bryner",90,1912-04-20,Male,Other,Baker,New York,3
Liverpool,Carpathia,Second,"Mercy, Kang",5,1912-04-16,Female,Hispanic,None,New York,2
Liverpool,Mauretania,Second,"Najavee, Roseley",23,1912-04-20,Male,Asian,Baker,New York,5
Liverpool,Baltic,Second,"Marc, Leal",22,1912-04-16,Male,Hispanic,Tailor,New York,3
Southampton,Britannic,Second,"Christian, Martell",65,1912-04-19,Male,Asian,Tailor,New York,4
Southampton,Olympic,First,"Derrik, Jarvis",2,1912-04-17,Female,White,Shoemaker,New York,3
Southampton,Britannic,Third,"Yessica, Martinez",40,1912-04-16,Female,Black,Weaver,New York,5
Liverpool,Baltic,First,"Abdus Salam, Al-abbasi",16,1912-04-15,Female,Asian,Farmer,New York,2
Liverpool,Aquitania,First,"Ali, Aguilar",NA-,1912-04-20,Female,White,Merchant,New York,2
Southampton,Britannic,Second,"Aatika, Al-aziz",90,1912-04-17,Female,Hispanic,Baker,New York,2
Liverpool,Celtic,Second,"Warda, El-farran",7,1912-04-15,Male,White,Blacksmith,New York,5
Liverpool,Adriatic,Third,"Alyvia, Vincent",19,1912-04-19,Male,Other,Carpenter,New York,4
Liverpool,Celtic,Third,"Justin, Albo",5,1912-04-19,Male,Asian,Mason,New York,3
Liverpool,Carpathia,Third,"Diego, Rodriguez",92,1912-04-19,Male,Other,Baker,New York,1
Liverpool,Aquitania,Third,"Thanaa, El-moghaddam",94,1912-04-15,Female,White,Baker,New York,1
Liverpool,Adriatic,Third,"Michael, Nguyen",68,1912-04-17,Female,Hispanic,Baker,New York,4
Liverpool,Baltic,Second,"Tia, Heneman",3,1912-04-19,Male,White,None,New York,5
Liverpool,Mauretania,First,"Thaamir, Al-younes",59,1912-04-20,Female,Asian,Miner,New York,1
Liverpool,Adriatic,Third,"Samantha, Myers",39,1912-04-16,Female,Other,Miner,New York,4
Liverpool,Adriatic,Second,"Rose, Kosmiski",68,1912-04-18,Male,Other,None,New York,3
Liverpool,Adriatic,Third,"Kara, Trout",8,1912-04-19,Female,Other,Carpenter,Cherbourg,5
Liverpool,Mauretania,First,"Adrian, Ferrell",4,1912-04-20,Female,White,Farmer,New York,3
Liverpool,Lusitania,Second,"Saamiqa, El-yassin",39,1912-04-17,Male,Other,Tailor,New York,4
Liverpool,Celtic,Second,"Jack, Walters",10,1912-04-17,Female,Hispanic,Shoemaker,New York,3
Southampton,Titanic,Third,"Mariela, Vigil",3,1912-04-18,Male,Hispanic,Miner,New York,4
Liverpool,Carpathia,Third,"Nicholas, Punzal",76,1912-04-15,Male,White,Weaver,New York,1
Liverpool,Aquitania,First,"Izzat, El-jafari",17,1912-04-20,Male,White,Tailor,New York,5
Southampton,Britannic,Third,"Tareefa, Al-amiri",49,1912-04-16,Male,Other,Merchant,New York,3
Liverpool,Adriatic,First,"Min, Loi",40,1912-04-20,Female,Asian,Miner,New York,5
Liverpool,Celtic,Second,"Sundus, El-assaf",79,1912-04-16,Male,Black,Farmer,New York,1
Liverpool,Aquitania,Third,"Jennifer, Worley",55,1912-04-15,Female,Asian,Shoemaker,New York,4
Liverpool,Lusitania,First,"Ramalaan, Al-beshara",33,1912-04-15,Male,Asian,Carpenter,New York,5
Liverpool,Adriatic,Second,"Caitlyn, Edwards",41,1912-04-17,Female,Other,Farmer,New York,2
Liverpool,Carpathia,Second,"Brian, Curtis",30,1912-04-16,Female,Asian,Miner,New York,4
Southampton,Titanic,First,"Andrew, Chinea",19,1912-04-19,Female,Asian,Merchant,New York,4
Liverpool,Aquitania,First,"Raymond, Anderson",100,1912-04-17,Female,White,Carpenter,New York,3
Liverpool,Carpathia,First,"Muhjar, Al-majid",8,1912-04-15,Female,Black,Shoemaker,New York,1
Southampton,Olympic,Third,"Leon, Tryels",1,1912-04-19,Male,Other,None,New York,4
Liverpool,Celtic,First,"Larissa, Angell",98,1912-04-20,Male,Black,Baker,New York,2
Southampton,Titanic,First,"Devin, King",69,1912-04-20,Male,Hispanic,Mason,New York,4
Liverpool,Celtic,First,"Eun, Yoshimura",5,1912-04-20,Female,Hispanic,Merchant,New York,3
Liverpool,Carpathia,Third,"Kenneth, O'neill",45,1912-04-19,Male,Hispanic,Baker,New York,4
Liverpool,Celtic,Second,"Jamaal, Al-rashed",1,1912-04-20,Female,White,None,Cherbourg,2
Liverpool,Celtic,Second,"Jeremiah, Goldman",2,1912-04-15,Male,Other,Shoemaker,New York,4
Liverpool,Carpathia,Second,"Kyra, O'connor",94,1912-04-15,Male,Black,Weaver,New York,5
Southampton,Olympic,Third,"Sarah, Ji",19,1912-04-15,Male,Asian,Carpenter,New York,5
Liverpool,Aquitania,Third,"Wajeeb, Al-mahmoud",1,1912-04-16,Female,White,Blacksmith,New York,1
Liverpool,Celtic,Second,"Sajaa, El-hariri",97,1912-04-17,Male,Asian,None,Cherbourg,2
Liverpool,Mauretania,Third,"Haaniya, Al-kanan",55,1912-04-18,Male,Other,Weaver,New York,5
Liverpool,Adriatic,First,"Jose, Kindall",59,1912-04-18,Male,Hispanic,Miner,New York,4
Liverpool,Lusitania,Third,"Dora, Manu",60,1912-04-17,Male,Black,Blacksmith,New York,4
Liverpool,Baltic,First,"Aalon, Hammond",97,1912-04-19,Male,White,Weaver,New York,4
Liverpool,Carpathia,Third,"Emily, Johnson",NA-,1912-04-17,Male,Hispanic,Blacksmith,New York,4
Liverpool,Mauretania,Third,"Reed, Musick-occhiuto",4,1912-04-15,Male,Hispanic,Baker,New York,2
Liverpool,Baltic,Second,"Jeremiah, Emanuel",23,1912-04-20,Male,Black,Mason,New York,4
Liverpool,Aquitania,Second,"Tareefa, El-niazi",6,1912-04-16,Female,Black,Miner,New York,4
Liverpool,Mauretania,Second,"Nu'maan, Al-sabir",6,1912-04-17,Male,Black,Mason,New York,5
Southampton,Titanic,First,"Karlena, Merritt",61,1912-04-17,Female,Hispanic,Blacksmith,New York,4
Liverpool,Adriatic,First,"Darias, Abrams",NA-,1912-04-18,Male,Hispanic,Mason,New York,2
Liverpool,Lusitania,Third,"Yoshi, Thang",66,1912-04-16,Male,Hispanic,Baker,New York,2
Liverpool,Lusitania,First,"Colton, Cardoza",10,1912-04-18,Female,Asian,Baker,New York,3
Liverpool,Adriatic,Third,"Kevin, Davis",83,1912-04-19,Male,Asian,Shoemaker,Cherbourg,1
Liverpool,Mauretania,Second,"Neelish, Carter",49,1912-04-17,Female,Asian,Shoemaker,New York,4
Liverpool,Adriatic,Second,"Jason, Kim",74,1912-04-18,Female,Hispanic,Miner,New York,5
Liverpool,Aquitania,First,"Jeremiah, Taylor",8,1912-04-15,Female,Black,Farmer,New York,4
Southampton,Olympic,Second,"Maisara, Al-attar",3,1912-04-19,Male,Hispanic,Baker,Cherbourg,5
Liverpool,Carpathia,Third,"Sang Kyun, Do",5,1912-04-15,Male,Other,Miner,New York,1
Liverpool,Mauretania,Third,"Crue, Sanchez",45,1912-04-20,Female,White,Tailor,Cherbourg,3
Southampton,Olympic,First,"Nicholas, Alba",80,1912-04-18,Female,Other,Merchant,New York,2
Liverpool,Lusitania,Second,"Aneesa, El-jamal",79,1912-04-18,Male,White,Blacksmith,Cherbourg,2
Liverpool,Aquitania,First,"Matthew, Patil",82,1912-04-19,Female,White,Shoemaker,New York,3
Liverpool,Carpathia,First,"Tiana, Valdes",13,1912-04-16,Male,Hispanic,Blacksmith,Cherbourg,5
Liverpool,Adriatic,First,"Hikma, Al-aydin",1,1912-04-18,Female,Black,Miner,New York,3
Liverpool,Aquitania,Second,"Miriam Aileen, Tanimoto",5,1912-04-15,Male,Other,None,New York,5
Liverpool,Carpathia,Second,"Isaiah, Hancock",25,1912-04-16,Male,White,Tailor,New York,2
Liverpool,Mauretania,Third,"Emilee, Rocha",0,1912-04-18,Female,Other,Weaver,New York,1
Liverpool,Mauretania,First,"Juhaina, Al-demian",75,1912-04-18,Male,Asian,None,New York,5
Liverpool,Celtic,Second,"Brandon, Froning",4,1912-04-18,Male,Asian,Shoemaker,New York,4
Liverpool,Baltic,Third,"Luke, Woken Weidlich",3,1912-04-18,Female,Other,Farmer,New York,1
Liverpool,Carpathia,Third,"Padideh, Parker",7,1912-04-17,Female,Asian,Farmer,New York,2
Liverpool,Lusitania,Third,"Shafinity, Pugh",3,1912-04-15,Male,Asian,None,New York,5
Liverpool,Mauretania,Third,"Zhening, Rayos",5,1912-04-17,Female,Asian,Shoemaker,New York,1
Liverpool,Celtic,Second,"Ashley, Weir",5,1912-04-16,Male,Black,Weaver,New York,4
Liverpool,Celtic,Second,"Ahmad, Webster",65,1912-04-15,Female,Asian,Shoemaker,New York,5
Liverpool,Lusitania,Second,"Muntasir, El-aslam",5,1912-04-18,Male,Asian,None,New York,5
Southampton,Britannic,Third,"Dimario, Thomas",85,1912-04-15,Female,Asian,Baker,New York,3
Southampton,Britannic,Third,"Timothy, Ellerman",79,1912-04-20,Female,Other,Weaver,New York,2
Liverpool,Celtic,First,"Charleen, Garman",22,1912-04-15,Female,White,Baker,New York,3
Liverpool,Carpathia,Third,"Issac, Roberts",7,1912-04-17,Female,Hispanic,None,New York,2
Liverpool,Celtic,Third,"Kendra, Hoffman",24,1912-04-20,Female,Black,Shoemaker,New York,4
Liverpool,Aquitania,First,"Aaron, Molina",29,1912-04-17,Male,Hispanic,Miner,New York,2
Liverpool,Adriatic,Second,"Noah, Khatter",20,1912-04-15,Female,Asian,Carpenter,New York,5
Liverpool,Baltic,First,"Jacob, Merrill",33,1912-04-16,Male,White,None,New York,5
Southampton,Britannic,Third,"Murshid, El-basha",49,1912-04-18,Male,Hispanic,Carpenter,New York,2
Liverpool,Baltic,Third,"Dalia, Contreras",4,1912-04-18,Male,Other,Weaver,New York,4
Liverpool,Celtic,Second,"Jun Raziel, Chang",2,1912-04-20,Female,White,Weaver,New York,5
Liverpool,Celtic,First,"Saaya, Qureshi",3,1912-04-20,Female,Hispanic,Tailor,New York,1
Southampton,Olympic,Third,"Aylissa, Abrams",8,1912-04-16,Female,White,Mason,New York,1
Liverpool,Celtic,Third,"Gilbert, Gonzales",60,1912-04-19,Female,Black,Farmer,New York,4
Liverpool,Celtic,Third,"Angelique, Johnson",2,1912-04-19,Female,Other,Shoemaker,New York,4
Southampton,Titanic,First,"Alana, Goode",1,1912-04-15,Female,Asian,None,New York,2
Liverpool,Lusitania,Second,"Shannon, Archuleta",99,1912-04-18,Male,Hispanic,Merchant,New York,2
Liverpool,Mauretania,Second,"Shirley, Mack",56,1912-04-15,Female,Other,Farmer,New York,2
Liverpool,Aquitania,Second,"Dmitri, Roberts",98,1912-04-16,Female,Other,Blacksmith,New York,1
Southampton,Titanic,First,"Sadyan, Gardner",25,1912-04-19,Female,Other,Blacksmith,Cherbourg,1
Liverpool,Adriatic,Third,"Karen, Phou",52,1912-04-16,Female,Black,Baker,New York,4
Liverpool,Lusitania,First,"Charles, Montano",90,1912-04-19,Female,Asian,Merchant,New York,3
Liverpool,Carpathia,Third,"Dulguun, Lu",27,1912-04-19,Male,Other,None,New York,2
Liverpool,Baltic,Second,"Kori, Dickey-banmally",1,1912-04-16,Male,Hispanic,Weaver,New York,2
